1 -1283 -1397 -283 -397 1 1 1 1 1 1 
1 483 604 497 618 0 0 0 0 0 3 
1 486 601 -5 110 0 0 1 0 0 5 
1 496 604 -506 -398 0 0 1 1 1 5 
1 -511 -406 -507 -402 1 1 1 1 4 5 
1 -1258 -1408 -256 -406 1 1 1 1 3 1 
0 538 639 514 615 0 0 0 0 4 1 
0 536 635 9 108 0 0 0 0 4 1 
1 522 620 -498 -400 0 0 1 1 3 0 
0 -490 -392 -496 -398 1 1 1 1 0 0 
0 -1247 -1405 -241 -399 1 1 1 1 1 5 
0 503 592 513 602 0 0 0 0 2 0 
0 494 580 5 91 0 0 0 0 3 1 
1 481 564 -505 -422 0 0 1 1 3 1 
0 -538 -456 -518 -436 1 1 1 1 3 2 
0 -1304 -1475 -270 -441 1 1 1 1 0 1 
1 474 557 480 563 0 0 0 0 5 1 
0 471 554 -29 54 0 0 1 0 0 0 
0 472 552 -537 -457 0 0 1 1 3 1 
0 -549 -474 -539 -464 1 1 1 1 5 0 
0 -1322 -1500 -286 -464 1 1 1 1 0 3 
0 483 550 490 557 0 0 0 0 5 5 
1 483 549 -22 44 0 0 1 0 1 1 
0 486 551 -533 -468 0 0 1 1 4 1 
0 -544 -481 -530 -467 1 1 1 1 5 1 
1 -1321 -1513 -277 -469 1 1 1 1 3 5 
1 500 561 500 561 0 0 0 0 0 4 
0 511 574 -12 51 0 0 1 0 4 4 
1 519 581 -525 -463 0 0 1 1 0 2 
0 -510 -448 -522 -460 1 1 1 1 4 0 
1 -1284 -1479 -263 -458 1 1 1 1 5 1 
1 524 587 523 586 0 0 0 0 4 0 
0 543 612 14 83 0 0 0 0 3 0 
0 563 638 -494 -419 0 0 1 1 2 3 
0 -462 -385 -493 -416 1 1 1 1 5 2 
1 -1234 -1412 -239 -417 1 1 1 1 0 4 
0 514 598 536 620 0 0 0 0 2 2 
0 508 594 21 107 0 0 0 0 3 5 
0 504 592 -496 -408 0 0 1 1 3 0 
0 2040 2444 1015 1419 0 0 0 0 1 4 
0 998 1404 495 901 0 0 0 0 4 4 
